"rules","support","confidence","lift"
"{yogurt} => {whole milk}",0.0560244026436197,0.401603498542274,1.57173514053453
"{yogurt} => {other vegetables}",0.0434163701067616,0.311224489795918,1.6084565723294
"{yogurt} => {rolls/buns}",0.0343670564311134,0.246355685131195,1.33936327433129
"{yogurt} => {tropical fruit}",0.0292831723436706,0.209912536443149,2.00047460844803
"{yogurt} => {soda}",0.0273512963904423,0.196064139941691,1.12436782293092
"{yogurt} => {root vegetables}",0.0258261311642095,0.185131195335277,1.69847509899482
"{yogurt} => {bottled water}",0.0229791560752415,0.164723032069971,1.49038732328258
"{yogurt} => {citrus fruit}",0.0216573462125064,0.155247813411079,1.87575214360929
"{yogurt} => {whipped/sour cream}",0.0207422470767667,0.14868804664723,2.07425097698654
"{yogurt} => {sausage}",0.0196237925775292,0.14067055393586,1.49728885060518
"{yogurt} => {fruit/vegetable juice}",0.0187086934417895,0.134110787172012,1.85510491116278
"{yogurt} => {pip fruit}",0.0179969496695475,0.129008746355685,1.70537771560237
"{yogurt} => {pastry}",0.017691916624301,0.126822157434402,1.42548104956268
"{yogurt} => {curd}",0.0172852058973055,0.123906705539359,2.32561536064808
"{yogurt} => {newspapers}",0.0153533299440773,0.110058309037901,1.37888340049396
"{yogurt} => {shopping bags}",0.0152516522623284,0.10932944606414,1.10965438807102
"{yogurt} => {butter}",0.0146415861718353,0.104956268221574,1.89402733570492
"{yogurt} => {brown bread}",0.0145399084900864,0.104227405247813,1.606703026038
"{yogurt} => {domestic eggs}",0.0143365531265887,0.102769679300292,1.61977531397174
"{yogurt} => {margarine}",0.0142348754448399,0.102040816326531,1.74231150793651
